,level_0,timestamp,device,metric,value,Consumption by hour
222,0,2023-10-07 23:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,749.0,0.0
223,0,2023-10-08 00:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,750.0,1.0
224,0,2023-10-08 01:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,750.0,0.0
225,0,2023-10-08 02:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,750.0,0.0
226,0,2023-10-08 03:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,751.0,1.0
227,0,2023-10-08 04:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,751.0,0.0
228,0,2023-10-08 05:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,752.0,1.0
229,0,2023-10-08 06:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,752.0,0.0
230,0,2023-10-08 07:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,753.0,1.0
231,0,2023-10-08 08:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,753.0,0.0
232,0,2023-10-08 09:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,754.0,1.0
233,0,2023-10-08 10:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,754.0,0.0
234,0,2023-10-08 11:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,755.0,1.0
235,0,2023-10-08 12:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,755.0,0.0
236,0,2023-10-08 13:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,756.0,1.0
237,0,2023-10-08 14:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,756.0,0.0
238,0,2023-10-08 15:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,757.0,1.0
239,0,2023-10-08 16:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,757.0,0.0
240,0,2023-10-08 17:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,757.0,0.0
241,0,2023-10-08 18:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,1.0
242,0,2023-10-08 19:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
243,0,2023-10-08 20:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
244,0,2023-10-08 21:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
245,0,2023-10-08 22:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
246,0,2023-10-08 23:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
247,0,2023-10-09 00:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
248,0,2023-10-09 01:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
249,0,2023-10-09 02:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
250,0,2023-10-09 03:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
251,0,2023-10-09 04:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
252,0,2023-10-09 05:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
253,0,2023-10-09 06:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
254,0,2023-10-09 07:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,758.0,0.0
255,0,2023-10-09 08:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,761.0,3.0
256,0,2023-10-09 09:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,765.0,4.0
257,0,2023-10-09 10:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,786.0,21.0
258,0,2023-10-09 11:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,804.0,18.0
259,0,2023-10-09 12:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,811.0,7.0
260,0,2023-10-09 13:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,817.0,6.0
261,0,2023-10-09 14:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,820.0,3.0
